startDateTime,endDateTime,tempSingleMean,tempSingleMinimum,tempSingleMaximum,tempSingleVariance,tempSingleNumPts,tempSingleExpUncert,tempSingleStdErMean,finalQF
"2018-03-01T00:00:00Z","2018-03-01T00:30:00Z",10.3665,9.6604,10.8495,0.0642,1800.0000,0.0221,0.0060,0
"2018-03-01T00:30:00Z","2018-03-01T01:00:00Z",10.2633,9.7193,10.7496,0.0650,1800.0000,0.0221,0.0060,0
"2018-03-01T01:00:00Z","2018-03-01T01:30:00Z",9.8189,9.2527,10.6813,0.0945,1800.0000,0.0235,0.0072,0
"2018-03-01T01:30:00Z","2018-03-01T02:00:00Z",9.4527,8.8987,10.5369,0.0945,1800.0000,0.0235,0.0072,0
"2018-03-01T02:00:00Z","2018-03-01T02:30:00Z",9.3011,8.5780,10.1270,0.2104,1800.0000,0.0285,0.0108,0
"2018-03-01T02:30:00Z","2018-03-01T03:00:00Z",9.4679,8.9210,10.4989,0.1476,1800.0000,0.0259,0.0091,0
"2018-03-01T03:00:00Z","2018-03-01T03:30:00Z",9.7221,9.1818,10.3961,0.0842,1800.0000,0.0230,0.0068,0
"2018-03-01T03:30:00Z","2018-03-01T04:00:00Z",10.0517,9.3914,11.2393,0.1384,1800.0000,0.0256,0.0088,0
"2018-03-01T04:00:00Z","2018-03-01T04:30:00Z",10.7862,10.4103,11.3241,0.0495,1800.0000,0.0213,0.0052,0
"2018-03-01T04:30:00Z","2018-03-01T05:00:00Z",10.0606,9.7515,10.7028,0.0425,1800.0000,0.0209,0.0049,0
"2018-03-01T05:00:00Z","2018-03-01T05:30:00Z",10.8547,9.6894,11.4435,0.1634,1800.0000,0.0266,0.0095,0
"2018-03-01T05:30:00Z","2018-03-01T06:00:00Z",10.3764,9.7408,11.0029,0.0800,1800.0000,0.0229,0.0067,0
"2018-03-01T06:00:00Z","2018-03-01T06:30:00Z",9.9067,9.2055,10.7850,0.1255,1800.0000,0.0250,0.0084,0
"2018-03-01T06:30:00Z","2018-03-01T07:00:00Z",9.5142,8.9795,10.0040,0.0550,1800.0000,0.0216,0.0055,0
"2018-03-01T07:00:00Z","2018-03-01T07:30:00Z",8.9771,8.5987,9.4047,0.0432,1800.0000,0.0209,0.0049,0
"2018-03-01T07:30:00Z","2018-03-01T08:00:00Z",9.0523,8.4332,9.7307,0.0874,1800.0000,0.0232,0.0070,0
"2018-03-01T08:00:00Z","2018-03-01T08:30:00Z",8.4861,8.0647,9.0310,0.0728,1800.0000,0.0224,0.0064,0
"2018-03-01T08:30:00Z","2018-03-01T09:00:00Z",8.7482,8.2630,9.3427,0.0762,1800.0000,0.0226,0.0065,0
"2018-03-01T09:00:00Z","2018-03-01T09:30:00Z",8.7886,8.5096,9.0897,0.0180,1800.0000,0.0195,0.0032,0
"2018-03-01T09:30:00Z","2018-03-01T10:00:00Z",9.2329,8.8031,9.7460,0.0816,1800.0000,0.0229,0.0067,0
"2018-03-01T10:00:00Z","2018-03-01T10:30:00Z",8.8936,8.4239,9.4883,0.0699,1800.0000,0.0223,0.0062,0
"2018-03-01T10:30:00Z","2018-03-01T11:00:00Z",8.4254,8.1371,8.8512,0.0238,1800.0000,0.0198,0.0036,0
"2018-03-01T11:00:00Z","2018-03-01T11:30:00Z",8.8542,8.2372,9.2992,0.1034,1800.0000,0.0239,0.0076,0
"2018-03-01T11:30:00Z","2018-03-01T12:00:00Z",9.1602,8.9301,9.5658,0.0186,1800.0000,0.0196,0.0032,0
"2018-03-01T12:00:00Z","2018-03-01T12:30:00Z",9.6664,9.3881,10.1186,0.0335,1800.0000,0.0204,0.0043,0
"2018-03-01T12:30:00Z","2018-03-01T13:00:00Z",10.1890,9.9159,10.4058,0.0189,1800.0000,0.0196,0.0032,0
"2018-03-01T13:00:00Z","2018-03-01T13:30:00Z",10.3122,10.0333,10.7130,0.0420,1800.0000,0.0209,0.0048,0
"2018-03-01T13:30:00Z","2018-03-01T14:00:00Z",10.7925,10.6118,11.1665,0.0145,1800.0000,0.0194,0.0028,0
"2018-03-01T14:00:00Z","2018-03-01T14:30:00Z",10.9535,10.6955,11.1726,0.0138,1800.0000,0.0194,0.0028,0
"2018-03-01T14:30:00Z","2018-03-01T15:00:00Z",11.2045,10.9484,11.7770,0.0548,1800.0000,0.0216,0.0055,0
"2018-03-01T15:00:00Z","2018-03-01T15:30:00Z",11.3193,11.0915,11.4990,0.0079,1800.0000,0.0191,0.0021,0
