startDateTime,endDateTime,tempSingleMean,tempSingleMinimum,tempSingleMaximum,tempSingleVariance,tempSingleNumPts,tempSingleExpUncert,tempSingleStdErMean,finalQF
"2018-12-01T00:00:00Z","2018-12-01T00:30:00Z",3.7497,3.4559,3.9096,0.0181,1800.0000,0.0193,0.0032,0
"2018-12-01T00:30:00Z","2018-12-01T01:00:00Z",3.4598,3.3220,3.5119,0.0020,1800.0000,0.0183,0.0011,0
"2018-12-01T01:00:00Z","2018-12-01T01:30:00Z",3.0833,2.8838,3.3257,0.0226,1800.0000,0.0195,0.0035,0
"2018-12-01T01:30:00Z","2018-12-01T02:00:00Z",3.0142,2.8592,3.1530,0.0098,1800.0000,0.0188,0.0023,0
"2018-12-01T02:00:00Z","2018-12-01T02:30:00Z",2.8905,2.7640,3.1267,0.0101,1800.0000,0.0188,0.0024,0
"2018-12-01T02:30:00Z","2018-12-01T03:00:00Z",3.3764,3.0535,3.5788,0.0163,1800.0000,0.0192,0.0030,0
"2018-12-01T03:00:00Z","2018-12-01T03:30:00Z",3.5575,3.3470,3.7147,0.0160,1800.0000,0.0191,0.0030,0
"2018-12-01T03:30:00Z","2018-12-01T04:00:00Z",4.1233,3.7057,4.4602,0.0401,1800.0000,0.0205,0.0047,0
"2018-12-01T04:00:00Z","2018-12-01T04:30:00Z",3.9617,3.9081,4.0322,0.0014,1800.0000,0.0183,0.0009,0
"2018-12-01T04:30:00Z","2018-12-01T05:00:00Z",3.4636,2.5267,3.9584,0.1448,1800.0000,0.0256,0.0090,0
"2018-12-01T05:00:00Z","2018-12-01T05:30:00Z",2.4452,2.3585,2.6579,0.0052,1800.0000,0.0185,0.0017,0
"2018-12-01T05:30:00Z","2018-12-01T06:00:00Z",2.8934,2.6575,3.1464,0.0166,1800.0000,0.0192,0.0030,0
"2018-12-01T06:00:00Z","2018-12-01T06:30:00Z",3.3023,3.1457,3.5535,0.0163,1800.0000,0.0192,0.0030,0
"2018-12-01T06:30:00Z","2018-12-01T07:00:00Z",3.7513,3.5538,3.9403,0.0126,1800.0000,0.0190,0.0026,0
"2018-12-01T07:00:00Z","2018-12-01T07:30:00Z",3.8654,3.6838,3.9595,0.0055,1800.0000,0.0185,0.0018,0
"2018-12-01T07:30:00Z","2018-12-01T08:00:00Z",4.0972,3.7574,4.2558,0.0142,1800.0000,0.0191,0.0028,0
"2018-12-01T08:00:00Z","2018-12-01T08:30:00Z",4.3019,4.2093,4.3944,0.0036,1800.0000,0.0184,0.0014,0
"2018-12-01T08:30:00Z","2018-12-01T09:00:00Z",4.4747,4.2074,4.5780,0.0106,1800.0000,0.0189,0.0024,0
"2018-12-01T09:00:00Z","2018-12-01T09:30:00Z",4.5917,4.4464,4.7349,0.0113,1800.0000,0.0189,0.0025,0
"2018-12-01T09:30:00Z","2018-12-01T10:00:00Z",4.6397,4.5269,4.6985,0.0021,1800.0000,0.0184,0.0011,0
"2018-12-01T10:00:00Z","2018-12-01T10:30:00Z",4.2993,3.8337,4.6331,0.0739,1800.0000,0.0223,0.0064,0
"2018-12-01T10:30:00Z","2018-12-01T11:00:00Z",3.5839,3.3184,3.8339,0.0227,1800.0000,0.0195,0.0035,0
"2018-12-01T11:00:00Z","2018-12-01T11:30:00Z",3.4161,3.3323,3.4876,0.0022,1800.0000,0.0183,0.0011,0
"2018-12-01T11:30:00Z","2018-12-01T12:00:00Z",3.4667,3.3797,3.5625,0.0031,1800.0000,0.0184,0.0013,0
"2018-12-01T12:00:00Z","2018-12-01T12:30:00Z",3.3345,3.1939,3.4593,0.0035,1800.0000,0.0184,0.0014,0
"2018-12-01T12:30:00Z","2018-12-01T13:00:00Z",3.2962,3.1745,3.5261,0.0136,1800.0000,0.0190,0.0027,0
"2018-12-01T13:00:00Z","2018-12-01T13:30:00Z",3.4231,3.2967,3.5285,0.0031,1800.0000,0.0184,0.0013,0
"2018-12-01T13:30:00Z","2018-12-01T14:00:00Z",3.3187,3.2328,3.4428,0.0028,1770.0000,0.0184,0.0013,0
