startDateTime,endDateTime,tempSingleMean,tempSingleMinimum,tempSingleMaximum,tempSingleVariance,tempSingleNumPts,tempSingleExpUncert,tempSingleStdErMean,finalQF
"2018-03-01T00:00:00Z","2018-03-01T00:30:00Z",11.2508,11.0826,11.3871,0.0058,1800.0000,0.0189,0.0018,0
"2018-03-01T00:30:00Z","2018-03-01T01:00:00Z",11.2104,11.0320,11.5694,0.0185,1800.0000,0.0197,0.0032,0
"2018-03-01T01:00:00Z","2018-03-01T01:30:00Z",11.6281,11.2644,12.0202,0.0274,1800.0000,0.0202,0.0039,0
"2018-03-01T01:30:00Z","2018-03-01T02:00:00Z",11.8582,11.4985,12.1574,0.0206,1800.0000,0.0198,0.0034,0
"2018-03-01T02:00:00Z","2018-03-01T02:30:00Z",11.8859,11.1110,12.4382,0.0990,1800.0000,0.0238,0.0074,0
"2018-03-01T02:30:00Z","2018-03-01T03:00:00Z",11.9682,11.4891,12.3674,0.0475,1800.0000,0.0213,0.0051,0
"2018-03-01T03:00:00Z","2018-03-01T03:30:00Z",12.4383,11.9016,12.7424,0.0208,1800.0000,0.0198,0.0034,0
"2018-03-01T03:30:00Z","2018-03-01T04:00:00Z",12.6634,12.2365,12.8612,0.0146,1800.0000,0.0195,0.0029,0
"2018-03-01T04:00:00Z","2018-03-01T04:30:00Z",12.7645,12.5803,12.9001,0.0032,1800.0000,0.0188,0.0013,0
"2018-03-01T04:30:00Z","2018-03-01T05:00:00Z",12.6581,12.5045,12.7619,0.0025,1800.0000,0.0188,0.0012,0
"2018-03-01T05:00:00Z","2018-03-01T05:30:00Z",12.7218,12.5788,12.8597,0.0039,1800.0000,0.0189,0.0015,0
"2018-03-01T05:30:00Z","2018-03-01T06:00:00Z",12.4790,12.3178,12.6379,0.0060,1800.0000,0.0190,0.0018,0
"2018-03-01T06:00:00Z","2018-03-01T06:30:00Z",12.3831,12.1194,12.5846,0.0110,1800.0000,0.0193,0.0025,0
"2018-03-01T06:30:00Z","2018-03-01T07:00:00Z",12.0837,11.8921,12.3412,0.0099,1800.0000,0.0192,0.0023,0
"2018-03-01T07:00:00Z","2018-03-01T07:30:00Z",11.7509,11.5378,11.9438,0.0087,1800.0000,0.0191,0.0022,0
"2018-03-01T07:30:00Z","2018-03-01T08:00:00Z",11.0293,10.1719,11.9464,0.4094,1800.0000,0.0354,0.0151,0
"2018-03-01T08:00:00Z","2018-03-01T08:30:00Z",10.0344,9.8724,10.1879,0.0064,1800.0000,0.0189,0.0019,0
"2018-03-01T08:30:00Z","2018-03-01T09:00:00Z",10.3560,9.8332,10.6553,0.0576,1800.0000,0.0217,0.0057,0
"2018-03-01T09:00:00Z","2018-03-01T09:30:00Z",10.6571,10.3905,11.1568,0.0560,1800.0000,0.0217,0.0056,0
"2018-03-01T09:30:00Z","2018-03-01T10:00:00Z",11.1347,10.7032,11.3890,0.0300,1800.0000,0.0203,0.0041,0
"2018-03-01T10:00:00Z","2018-03-01T10:30:00Z",10.7742,10.0343,11.3806,0.1470,1800.0000,0.0259,0.0090,0
"2018-03-01T10:30:00Z","2018-03-01T11:00:00Z",10.5489,10.1764,10.8827,0.0341,1800.0000,0.0205,0.0044,0
"2018-03-01T11:00:00Z","2018-03-01T11:30:00Z",10.5525,10.0801,11.0955,0.0897,1800.0000,0.0233,0.0071,0
