,siteid
WREF,0.06592784339103705
SJER,0.24664293803591653
DEJU,0.13565766057272285
TEAK,0.2122229412716389
HEAL,0.11199644070538747
SOAP,0.08574664293803591
BARR,0.079679663484873
ABBY,0.06212586960038829
